9	60	3
11	60	3
13	60	6
15	60	4
17	60	4
20	60	5
9	65	8
11	65	9
13	65	13
15	65	8
17	65	5
20	65	6
9	70	14
11	70	18
13	70	24
15	70	41
17	70	24
20	70	10
9	75	13
11	75	33
13	75	45
15	75	74
17	75	43
20	75	9
9	80	16
11	80	48
13	80	69
15	80	83
17	80	48
20	80	34
9	85	59
11	85	75
13	85	83
15	85	79
17	85	53
20	85	33
9	90	85
11	90	93
13	90	90
15	90	90
17	90	73
20	90	35
9	95	88
11	95	100
13	95	90
15	95	98
17	95	80
20	95	36
9	100	90
11	100	98
13	100	90
15	100	100
17	100	88
20	100	39
